GroupID,Year,Area,TLC,X,Y,MainPlace,Municipality,District,Province
105,2001,Bassonia                                                                                                                                                                                                                                                  ,Southern Johannesburg MLC,28.06,-26.27,Johannesburg,City of Johannesburg,City of Johannesburg,Gauteng
106,2001,Westridge                                                                                                                                                                                                                                                 ,Central Cape Town MLC,18.6,-34.05,Mitchells Plain,City of Cape Town,City of Cape Town,Western Cape
107,2001,Greenturf                                                                                                                                                                                                                                                 ,U,31.03,-29.72,Phoenix,eThekwini,eThekwini,KwaZulu-Natal
108,2001,Kabega                                                                                                                                                                                                                                                    ,,25.49,-33.94,Port Elizaberth,Nelson Mandela Bay,Nelson Mandela Bay,Eastern Cape
109,2001,Moreletta Park                                                                                                                                                                                                                                            ,,28.28,-25.81,Pretoria,City of Tshwane,City of Tshwane,Gauteng
110,2001,Welgemoed                                                                                                                                                                                                                                                 ,Tygerberg MLC,18.61,-33.87,Bellville,City of Cape Town,City of Cape Town,Western Cape
111,2001,Woodhaven                                                                                                                                                                                                                                                 ,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
113,2002,Antioch                                                                                                                                                                                                                                                   ,,30.86,-24.44,Maruleng NU,Maruleng,Mopani,Limpopo
114,2002,Garagapola                                                                                                                                                                                                                                                ,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
115,2002,Gasese                                                                                                                                                                                                                                                    ,Bophirima District Council,23.04,-27.11,Ga-Sese,Joe Morolong,John Taolo Gaetsewe,Northern Cape
116,2002,Mafefe                                                                                                                                                                                                                                                    ,Noko-tlou/Fetakgomo RLC,30.11,-24.2,Ga-Mafefe,Lepele-Nkumpi,Capricorn,Limpopo
117,2002,Mfazazane                                                                                                                                                                                                                                                 ,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
118,2002,Tambo                                                                                                                                                                                                                                                     ,Queenstown Rural TRC,26.81,-32.13,Tambo,Lukanji,Chris Hani,Eastern Cape
120,2002,Greenturf                                                                                                                                                                                                                                                 ,U,31.03,-29.72,Phoenix,eThekwini,eThekwini,KwaZulu-Natal
121,2002,Kabega                                                                                                                                                                                                                                                    ,,25.49,-33.94,Port Elizaberth,Nelson Mandela Bay,Nelson Mandela Bay,Eastern Cape
122,2002,Moreletta Park                                                                                                                                                                                                                                            ,,28.28,-25.81,Pretoria,City of Tshwane,City of Tshwane,Gauteng
123,2002,Welgemoed                                                                                                                                                                                                                                                 ,Tygerberg MLC,18.61,-33.87,Bellville,City of Cape Town,City of Cape Town,Western Cape
124,2002,Westridge                                                                                                                                                                                                                                                 ,Central Cape Town MLC,18.6,-34.05,Mitchells Plain,City of Cape Town,City of Cape Town,Western Cape
125,2002,Woodhaven                                                                                                                                                                                                                                                 ,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
1000005,2002,Ikgomotseng                                                                                                                                                                                                                                               ,Moddervaal RLC,26.1,-28.73,Ikgomotseng,Masilonyana,Lejweleputswa,Free State
1000007,2003,Antioch                                                                                                                                                                                                                                                   ,,30.86,-24.44,Maruleng NU,Maruleng,Mopani,Limpopo
