,GroupName,Description,ContextID,ParentID,lock,Year,Area
1000055,2006 Driekoppies                                                                                                                                                                                                                                               ,NULL,2,1000047,0,2006,Driekoppies                                                                                                                                                                                                                                               
1000056,2006 Khayalitsha                                                                                                                                                                                                                                               ,NULL,2,1000047,0,2006,Khayalitsha                                                                                                                                                                                                                                               
1000057,2006 Matshana                                                                                                                                                                                                                                                  ,NULL,2,1000047,0,2006,Matshana                                                                                                                                                                                                                                                  
1000059,2006 Peacetown                                                                                                                                                                                                                                                 ,NULL,2,1000047,0,2006,Peacetown                                                                                                                                                                                                                                                 
1000060,2006 Vlaklaagte                                                                                                                                                                                                                                                ,NULL,2,1000047,0,2006,Vlaklaagte                                                                                                                                                                                                                                                
1000049,2006 Greenturf                                                                                                                                                                                                                                                 ,NULL,2,1000048,0,2006,Greenturf                                                                                                                                                                                                                                                 
1000050,2006 Kabega                                                                                                                                                                                                                                                    ,NULL,2,1000048,0,2006,Kabega                                                                                                                                                                                                                                                    
1000051,2006 La Lucia                                                                                                                                                                                                                                                  ,NULL,2,1000048,0,2006,La Lucia                                                                                                                                                                                                                                                  
1000052,2006 Westridge                                                                                                                                                                                                                                                 ,NULL,2,1000048,0,2006,Westridge                                                                                                                                                                                                                                                 
1000053,2006 Woodhill                                                                                                                                                                                                                                                  ,NULL,2,1000048,0,2006,Woodhill                                                                                                                                                                                                                                                  
1000062,2007 Dinokana                                                                                                                                                                                                                                                  ,NULL,2,1000061,0,2007,Dinokana                                                                                                                                                                                                                                                  
1000063,2007 Khayalitsha                                                                                                                                                                                                                                               ,NULL,2,1000061,0,2007,Khayalitsha                                                                                                                                                                                                                                               
1000064,2007 Matshana                                                                                                                                                                                                                                                  ,NULL,2,1000061,0,2007,Matshana                                                                                                                                                                                                                                                  
1000065,2007 Peacetown                                                                                                                                                                                                                                                 ,NULL,2,1000061,0,2007,Peacetown                                                                                                                                                                                                                                                 
1000066,2007 Vlaklaagte                                                                                                                                                                                                                                                ,NULL,2,1000061,0,2007,Vlaklaagte                                                                                                                                                                                                                                                
1000068,2007 Kabega                                                                                                                                                                                                                                                    ,NULL,2,1000067,0,2007,Kabega                                                                                                                                                                                                                                                    
1000069,2007 Woodhill                                                                                                                                                                                                                                                  ,NULL,2,1000067,0,2007,Woodhill                                                                                                                                                                                                                                                  
1000071,2008 Woodhill                                                                                                                                                                                                                                                  ,NULL,2,1000070,0,2008,Woodhill                                                                                                                                                                                                                                                  
1000075,2008 Dinokana                                                                                                                                                                                                                                                  ,NULL,2,1000074,0,2008,Dinokana                                                                                                                                                                                                                                                  
1000076,2008 Khayalitsha                                                                                                                                                                                                                                               ,NULL,2,1000074,0,2008,Khayalitsha                                                                                                                                                                                                                                               
1000077,2008 Matshana                                                                                                                                                                                                                                                  ,NULL,2,1000074,0,2008,Matshana                                                                                                                                                                                                                                                  
1000078,2008 Peacetown                                                                                                                                                                                                                                                 ,NULL,2,1000074,0,2008,Peacetown                                                                                                                                                                                                                                                 
1000079,2008 Vlaklaagte                                                                                                                                                                                                                                                ,NULL,2,1000074,0,2008,Vlaklaagte                                                                                                                                                                                                                                                
1000081,2009 Dinokana                                                                                                                                                                                                                                                  ,NULL,2,1000080,0,2009,Dinokana                                                                                                                                                                                                                                                  
1000082,2009 Khayalitsha                                                                                                                                                                                                                                               ,NULL,2,1000080,0,2009,Khayalitsha                                                                                                                                                                                                                                               
1000083,2009 Matshana                                                                                                                                                                                                                                                  ,NULL,2,1000080,0,2009,Matshana                                                                                                                                                                                                                                                  
1000084,2009 Peacetown                                                                                                                                                                                                                                                 ,NULL,2,1000080,0,2009,Peacetown                                                                                                                                                                                                                                                 
1000085,2009 Vlaklaagte                                                                                                                                                                                                                                                ,NULL,2,1000080,0,2009,Vlaklaagte                                                                                                                                                                                                                                                
1000088,2009b Ga-Nkoane                                                                                                                                                                                                                                                ,NULL,1000003,1000080,0,2009,Ga-Nkoane                                                                                                                                                                                                                                                
1000092,2009b Matshana                                                                                                                                                                                                                                                 ,NULL,1000003,1000080,0,2009,Matshana                                                                                                                                                                                                                                                 
1000093,2009b Vlaklaagte                                                                                                                                                                                                                                               ,NULL,1000003,1000080,0,2009,Vlaklaagte                                                                                                                                                                                                                                               
1000089,2009b Wattville                                                                                                                                                                                                                                                ,NULL,1000003,1000080,0,2009,Wattville                                                                                                                                                                                                                                                
1000087,2009 Woodhill                                                                                                                                                                                                                                                  ,NULL,2,1000086,0,2009,Woodhill                                                                                                                                                                                                                                                  
1000097,2010 Ga-Luka                                                                                                                                                                                                                                                   ,NULL,1000004,1000091,0,2010,Ga-Luka                                                                                                                                                                                                                                                   
1000102,2010 Ga-Nkoane                                                                                                                                                                                                                                                 ,NULL,1000004,1000091,0,2010,Ga-Nkoane                                                                                                                                                                                                                                                 
1000103,2010 Hankey                                                                                                                                                                                                                                                    ,NULL,1000004,1000091,0,2010,Hankey                                                                                                                                                                                                                                                    
1000095,2010 Matshana                                                                                                                                                                                                                                                  ,NULL,1000004,1000091,0,2010,Matshana                                                                                                                                                                                                                                                  
1000098,2010 Vlaklaagte                                                                                                                                                                                                                                                ,NULL,1000004,1000091,0,2010,Vlaklaagte                                                                                                                                                                                                                                                
1000099,2010 Wattville                                                                                                                                                                                                                                                 ,NULL,1000004,1000091,0,2010,Wattville                                                                                                                                                                                                                                                 
