ID,AreaName,PlaceName,TLC,X,Y,MainPlace,Municipality,District,Province
120,Greenturf,Greenturf,U,31.03,-29.72,Phoenix,eThekwini,eThekwini,KwaZulu-Natal
121,Kabega,Kabega,,25.49,-33.94,Port Elizaberth,Nelson Mandela Bay,Nelson Mandela Bay,Eastern Cape
122,Moreletta Park,Moreletta Park,,28.28,-25.81,Pretoria,City of Tshwane,City of Tshwane,Gauteng
123,Welgemoed,Welgemoed,Tygerberg MLC,18.61,-33.87,Bellville,City of Cape Town,City of Cape Town,Western Cape
124,Westridge,Westridge,Central Cape Town MLC,18.6,-34.05,Mitchells Plain,City of Cape Town,City of Cape Town,Western Cape
125,Woodhaven,Woodhaven,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
1000005,Ikgomotseng,Ikgomotseng,Moddervaal RLC,26.1,-28.73,Ikgomotseng,Masilonyana,Lejweleputswa,Free State
1000007,Antioch,Antioch,,30.86,-24.44,Maruleng NU,Maruleng,Mopani,Limpopo
1000008,Garagapola,Garagapola,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
1000009,Gasese,Gasese,Bophirima District Council,23.04,-27.11,Ga-Sese,Joe Morolong,John Taolo Gaetsewe,Northern Cape
1000010,Ikgomotseng,Ikgomotseng,Moddervaal RLC,26.1,-28.73,Ikgomotseng,Masilonyana,Lejweleputswa,Free State
1000011,Maconqo,Maconqo,U,23.26,-13.27,,,,
1000012,Matshana,Matshana,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
1000013,Mfazazane,Mfazazane,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
1000014,Tambo,Tambo,Queenstown Rural TRC,26.81,-32.13,Tambo,Lukanji,Chris Hani,Eastern Cape
1000016,Greenturf,Greenturf,U,31.03,-29.72,Phoenix,eThekwini,eThekwini,KwaZulu-Natal
1000017,Kabega,Kabega,,25.49,-33.94,Port Elizaberth,Nelson Mandela Bay,Nelson Mandela Bay,Eastern Cape
1000018,Moreletta Park,Moreletta Park,,28.28,-25.81,Pretoria,City of Tshwane,City of Tshwane,Gauteng
1000019,Westridge,Westridge,Central Cape Town MLC,18.6,-34.05,Mitchells Plain,City of Cape Town,City of Cape Town,Western Cape
1000022,Matshana,Matshana,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
1000023,Greenturf,Greenturf,U,31.03,-29.72,Phoenix,eThekwini,eThekwini,KwaZulu-Natal
1000024,Westridge,Westridge,Central Cape Town MLC,18.6,-34.05,Mitchells Plain,City of Cape Town,City of Cape Town,Western Cape
1000025,Kabega,Kabega,,25.49,-33.94,Port Elizaberth,Nelson Mandela Bay,Nelson Mandela Bay,Eastern Cape
1000026,Vlaklaagte,Vlaklaagte,Mkobola,28.87,-25.36,Thembisile NU,Thembisile,Nkangala,Mpumalanga
1000027,Khayalitsha,Khayalitsha,,18.67,-34.03,Khayelitsha,City of Cape Town,City of Cape Town,Western Cape
1000028,Dinokana,Dinokana,Central District Council,25.88,-25.45,Dinokana,Ramotshere Moiloa,Ngaka Modiri Molema,North West
1000029,Driekoppies,Driekoppies,Bochum/ My Darling RLC,28.7,-23.22,Driekopies,Blouberg,Capricorn,Limpopo
1000029,Driekoppies,Driekoppies,Nkomazi West TRC,31.56,-25.7,Driekoppies,Nkomazi,Ehlanzeni,Mpumalanga
1000031,Dinokana,Dinokana,Central District Council,25.88,-25.45,Dinokana,Ramotshere Moiloa,Ngaka Modiri Molema,North West
1000032,Peacetown,Peacetown,,29.74,-28.45,PeaceTown,Emnambithi/Ladysmith,Uthukela,KwaZulu-Natal
1000033,Khayalitsha,Khayalitsha,,18.67,-34.03,Khayelitsha,City of Cape Town,City of Cape Town,Western Cape
1000034,Matshana,Matshana,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
1000035,Vlaklaagte,Vlaklaagte,Mkobola,28.87,-25.36,Thembisile NU,Thembisile,Nkangala,Mpumalanga
1000036,Driekoppies,Driekoppies,Bochum/ My Darling RLC,28.7,-23.22,Driekopies,Blouberg,Capricorn,Limpopo
1000036,Driekoppies,Driekoppies,Nkomazi West TRC,31.56,-25.7,Driekoppies,Nkomazi,Ehlanzeni,Mpumalanga
1000038,Greenturf,Greenturf,U,31.03,-29.72,Phoenix,eThekwini,eThekwini,KwaZulu-Natal
1000039,Kabega,Kabega,,25.49,-33.94,Port Elizaberth,Nelson Mandela Bay,Nelson Mandela Bay,Eastern Cape
1000040,Westridge,Westridge,Central Cape Town MLC,18.6,-34.05,Mitchells Plain,City of Cape Town,City of Cape Town,Western Cape
1000041,La Lucia,La Lucia,Northern Durban MLC,31.05,-29.74,Umhlanga,eThekwini,eThekwini,KwaZulu-Natal
1000042,Woodhill,Woodhill,U,22.66,-33.93,George NU,George,Eden,Western Cape
1000049,Greenturf,Greenturf,U,31.03,-29.72,Phoenix,eThekwini,eThekwini,KwaZulu-Natal
1000050,Kabega,Kabega,,25.49,-33.94,Port Elizaberth,Nelson Mandela Bay,Nelson Mandela Bay,Eastern Cape
1000051,La Lucia,La Lucia,Northern Durban MLC,31.05,-29.74,Umhlanga,eThekwini,eThekwini,KwaZulu-Natal
1000052,Westridge,Westridge,Central Cape Town MLC,18.6,-34.05,Mitchells Plain,City of Cape Town,City of Cape Town,Western Cape
1000053,Woodhill,Woodhill,U,22.66,-33.93,George NU,George,Eden,Western Cape
1000054,Dinokana,Dinokana,Central District Council,25.88,-25.45,Dinokana,Ramotshere Moiloa,Ngaka Modiri Molema,North West
1000055,Driekoppies,Driekoppies,Bochum/ My Darling RLC,28.7,-23.22,Driekopies,Blouberg,Capricorn,Limpopo
1000055,Driekoppies,Driekoppies,Nkomazi West TRC,31.56,-25.7,Driekoppies,Nkomazi,Ehlanzeni,Mpumalanga
1000056,Khayalitsha,Khayalitsha,,18.67,-34.03,Khayelitsha,City of Cape Town,City of Cape Town,Western Cape
1000057,Matshana,Matshana,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
1000059,Peacetown,Peacetown,,29.74,-28.45,PeaceTown,Emnambithi/Ladysmith,Uthukela,KwaZulu-Natal
1000060,Vlaklaagte,Vlaklaagte,Mkobola,28.87,-25.36,Thembisile NU,Thembisile,Nkangala,Mpumalanga
1000062,Dinokana,Dinokana,Central District Council,25.88,-25.45,Dinokana,Ramotshere Moiloa,Ngaka Modiri Molema,North West
1000063,Khayalitsha,Khayalitsha,,18.67,-34.03,Khayelitsha,City of Cape Town,City of Cape Town,Western Cape
1000064,Matshana,Matshana,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
1000065,Peacetown,Peacetown,,29.74,-28.45,PeaceTown,Emnambithi/Ladysmith,Uthukela,KwaZulu-Natal
1000066,Vlaklaagte,Vlaklaagte,Mkobola,28.87,-25.36,Thembisile NU,Thembisile,Nkangala,Mpumalanga
1000068,Kabega,Kabega,,25.49,-33.94,Port Elizaberth,Nelson Mandela Bay,Nelson Mandela Bay,Eastern Cape
1000069,Woodhill,Woodhill,U,22.66,-33.93,George NU,George,Eden,Western Cape
1000071,Woodhill,Woodhill,U,22.66,-33.93,George NU,George,Eden,Western Cape
1000075,Dinokana,Dinokana,Central District Council,25.88,-25.45,Dinokana,Ramotshere Moiloa,Ngaka Modiri Molema,North West
1000076,Khayalitsha,Khayalitsha,,18.67,-34.03,Khayelitsha,City of Cape Town,City of Cape Town,Western Cape
1000077,Matshana,Matshana,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
1000078,Peacetown,Peacetown,,29.74,-28.45,PeaceTown,Emnambithi/Ladysmith,Uthukela,KwaZulu-Natal
1000079,Vlaklaagte,Vlaklaagte,Mkobola,28.87,-25.36,Thembisile NU,Thembisile,Nkangala,Mpumalanga
